Date,d*,D/d50,sheilds parameter,Frd,W/D,measured output
5/5/2008,10.01719596,10789.44246,1.226493666,23.23099808,31.38870873,-1.804060356
5/19/2008,1828.138263,73.17457598,0.027206589,3.578628217,26.51273464,-3.36601078
5/28/2008,12.47090305,9581.524084,1.896222923,29.34905346,29.03661335,-0.858908487
6/11/2008,807.6996643,149.9354068,0.033642844,3.916479333,28.01331587,-3.549031218
7/7/2008,9.916012165,10793.55845,1.157370345,22.53234093,31.69690984,-2.094842389
4/15/2009,19.22492154,5935.40408,0.933213947,20.4367909,29.73060562,-2.122441339
4/23/2009,493.2710133,252.1897531,0.063486218,5.403948912,27.89108624,-3.791388397
5/19/2009,18.82018635,6715.386463,1.858516635,29.31057938,27.45260302,-2.221002533
6/3/2009,1658.908362,73.43941317,0.016319651,2.730969042,28.47913971,-3.634782721
5/20/2010,1615.905248,73.77514986,0.014795626,2.591172053,28.71593258,-4.094671648
6/15/2011,9.612460772,12851.09579,3.369662674,39.30899195,26.96341848,-1.522551709
